PROOF OF WORK
================================================================================
Case:    Yellow Rock, LLC et al. v. Westlake US 2 LLC f/k/a Eagle US 2 LLC et al.
Docket:  202-001594, Division "H", 14th Judicial District, Parish of Calcasieu
Witness: Thomas L. Easley
Date:    Friday, March 13, 2026
Engine:  ROUGH_DRAFT / TWO_PASS
Pass:    2b (summary/index/QA files)
Source:  cleaned_text.txt (181,947 chars); RTF rough draft from Marybeth E. Muir, CCR, RPR
================================================================================


SECTION 1 — PRE-PROCESSING (steno_cleanup.py)
----------------------------------------------
Script:           steno_cleanup.py
Input file:       [raw RTF rough draft from reporter]
Output file:      cleaned_text.txt (181,947 characters)

Pre-processing changes applied:

  Double-underscore to em dash conversions:          321
  Tilde characters removed:                          160
  Compound word underscore-to-hyphen fixes:           85
    Breakdown:
      E_mail (→ email):                               74
      day_to_day (→ day-to-day):                       4
      re_depose (→ re-depose):                         1
      non_verbal (→ non-verbal):                       1
      publicly_traded (→ publicly-traded):             1
      successor_in_interest (→ successor-in-interest): 1
      follow_up (→ follow-up):                         3
  Docket underscore to hyphen (202_001594 → 202-001594): 7
  Double-@ artifact corrected:                        1
  Encoding characters stripped:                      18
                                                  ------
  TOTAL PRE-PROCESSING CHANGES:                     592


SECTION 2 — ENGINE CORRECTIONS (Pass 1 — 117 corrections)
----------------------------------------------------------
Format: LINE_APPROX | ORIGINAL (as received from steno_cleanup.py) | CORRECTED | CONFIDENCE | REASON
[ ] Append reporter's certificate and witness certificate pages (not in source file)
[ ] Verify "anti conflict software" = "anti-collision software" (line 10934)
[ ] Verify "subsurface sonar tests" = sonic or other technical term (line 2264)
[ ] Confirm "Stephen Derby" = "Steve Derby" for consistency (line 6993)
[ ] Verify "Exhibit No. 36" = "Exhibit No. 136" at line 5866
[ ] Confirm Exhibit 157 questions status before Part 2 deposition
[ ] Review audio at lines 1762-1763 and 2562-2563 for missing words (steno gaps marked "_ _")
[ ] Review audio at line 983 ("Do you want going to off the record?") for correct language
[ ] Confirm steno "(all caps)" annotation in Exhibit 138 quotation (lines 6728-6730) — handle per certified copy standards


SECTION 8 — CONFIDENCE SCORES
------------------------------
technical_confidence:      0.88
  (oil & gas terminology, well names, geological terms — high confidence with noted exceptions)

speaker_confidence:        0.92
  (speaker attribution generally reliable; flagged exceptions: MS. HANDY, Nathaniel on Zoom,
   M. Curtis first name unknown, LMD at mmpfirm.com not present)

punctuation_confidence:    0.75
  (ROUGH DRAFT mode — punctuation judgment layer was skipped; sentence structure and Q./A.
   boundaries not fully adjudicated; multiple Q./A. format flags raised)

overall_readiness:         0.87
  (transcript is a high-quality rough draft suitable for attorney review; NOT ready for
   certification without reporter review of all 47 flags and 3 reporter check placeholders)


SECTION 9 — PROCESSING STATISTICS
-----------------------------------
Pre-processing:     steno_cleanup.py — 592 changes applied to raw RTF rough draft
Source file:        cleaned_text.txt — 181,947 characters
Total lines read:   11,876
Engine mode:        ROUGH_DRAFT / TWO_PASS

Pass 1 results:
  Corrections made:   117
  Flags raised:        47
  Exhibits indexed:    32

Pass 2b results (this pass):
  Files produced (2b):  6
    1. EXHIBIT_INDEX.txt
    2. DEPOSITION_SUMMARY.txt
    3. QA_FLAGS.txt
    4. PROOF_OF_WORK.txt
    5. DELIVERY_CHECKLIST.txt
    6. CASE_INFO_EXTRACTED.txt

Architecture:       Two-pass engine; Pass 2a = transcript output; Pass 2b = summary/index/QA
Total files produced (all passes):  8
  (Transcript [Pass 2a], EXHIBIT_INDEX.txt, DEPOSITION_SUMMARY.txt, QA_FLAGS.txt,
   PROOF_OF_WORK.txt, DELIVERY_CHECKLIST.txt, CASE_INFO_EXTRACTED.txt, PROCESSING_NOTES.txt)

================================================================================
End of Proof of Work
================================================================================
